scenario,date_utc,live_notes_before,liquidated_today,live_notes_after,stress_day,return_1d,vol_5d_ann,daily_buyback_paid_usdc,daily_unwind_cost_usdc,daily_buffer_usdc,min_event_buffer_usdc,max_event_ltv,cumulative_liquidations,cumulative_buyback_paid_usdc,cumulative_unwind_cost_usdc,cumulative_buffer_usdc
primary_lending_liquidation,2012-06-28,165,0,165,False,-0.011128787694090203,0.18466767143362608,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-06-29,166,0,166,False,0.02492667358036882,0.27582649895175365,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-07-02,167,0,167,False,0.002961265604227492,0.21602164265571716,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-07-03,168,0,168,False,0.0065929909273299,0.21605865209369443,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-07-05,169,0,169,False,-0.004512119637964385,0.22053164465683422,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-07-06,170,0,170,False,-0.012474935388675501,0.22609294039088726,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-07-09,171,0,171,False,-0.0038494668234546614,0.14702921910912273,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-07-10,172,0,172,False,-0.011094482374786385,0.1408135016352807,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-07-11,173,0,173,False,-0.005523094208937929,0.07744463612124632,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-07-12,174,0,174,False,-0.009362109620791093,0.06159124148937594,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-07-13,175,0,175,False,0.0124380722953632,0.14577892645789303,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-07-16,176,0,176,False,-0.0040115295009484075,0.14575878617443744,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-07-17,177,0,177,False,0.003524309873464304,0.13860426319015606,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-07-18,178,0,178,False,0.006145714826774951,0.14892727098602282,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-07-19,179,0,179,False,-0.003365797411521987,0.10375340192611264,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-07-20,180,0,180,False,-0.013210455153749856,0.15501628602364748,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-07-23,181,0,181,False,-0.01596353897578595,0.18112162015722288,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-07-24,182,0,182,False,-0.013132440673524148,0.1842356669911781,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
primary_lending_liquidation,2012-07-25,183,0,183,False,-0.0066708731742801675,0.13907140629403097,0.0,0.0,0.0,,,309,17255.43954842637,384.5793734886211,7457.216258518301
